#,Company,Symbol,Portfolio%,Price,Chg,% Chg
240,"Moderna, Inc.",MRNA,0.08%,104.70,1.62,(1.57%)
241,Pg&e Corporation,PCG,0.08%,16.42,0.22,(1.36%)
242,"Kinder Morgan, Inc.",KMI,0.08%,18.09,0.06,(0.33%)
243,"Diamondback Energy, Inc.",FANG,0.08%,194.83,1.92,(1.00%)
244,"Verisk Analytics, Inc.",VRSK,0.08%,236.39,-0.01,(-0.00%)
245,Halliburton Company,HAL,0.08%,38.48,0.26,(0.68%)
246,"Global Payments, Inc.",GPN,0.08%,132.03,-1.06,(-0.80%)
247,The Estee Lauder Companies Inc. Class A,EL,0.08%,146.47,-0.29,(-0.20%)
248,Arch Capital Group Ltd,ACGL,0.08%,90.85,-1.38,(-1.50%)
249,Dollar General Corp.,DG,0.08%,154.28,-1.78,(-1.14%)
250,Baker Hughes Company,BKR,0.08%,33.43,0.04,(0.12%)
251,"Ppg Industries, Inc.",PPG,0.08%,143.27,1.01,(0.71%)
252,Cdw Corporation,CDW,0.08%,255.28,4.47,(1.78%)
253,Archer Daniels Midland Company,ADM,0.07%,62.68,1.36,(2.23%)
254,Electronic Arts Inc,EA,0.07%,133.41,1.09,(0.83%)
255,"Rockwell Automation, Inc.",ROK,0.07%,290.36,8.58,(3.04%)
256,Public Service Enterprise Group Incorporated,PEG,0.07%,63.89,0.00,(0.00%)
257,"Equifax, Incorporated",EFX,0.07%,251.49,-13.20,(-4.99%)
258,On Semiconductor Corp,ON,0.07%,75.95,0.38,(0.50%)
259,"Dupont De Nemours, Inc.",DD,0.07%,75.25,0.73,(0.99%)
260,Biogen Inc.,BIIB,0.07%,221.64,3.49,(1.60%)
261,"Monolithic Power Systems, Inc.",MPWR,0.07%,634.75,-32.26,(-4.84%)
262,Devon Energy Corporation,DVN,0.07%,48.49,-0.13,(-0.26%)
263,"Consolidated Edison, Inc.",ED,0.07%,88.72,-0.32,(-0.36%)
264,Xylem Inc,XYL,0.07%,130.09,1.38,(1.07%)
265,Fair Isaac Corporation,FICO,0.07%,"1,278.27",32.87,(2.64%)
266,Royal Caribbean Group,RCL,0.07%,134.91,-0.62,(-0.46%)
267,Keurig Dr Pepper Inc.,KDP,0.07%,29.72,0.00,(0.02%)
268,The Hershey Company,HSY,0.07%,199.63,1.60,(0.81%)
269,Discover Financial Services,DFS,0.07%,127.19,1.42,(1.13%)
270,"The Hartford Financial Services Group, Inc.",HIG,0.07%,99.26,-1.86,(-1.84%)
271,Fortive Corporation,FTV,0.07%,86.23,0.35,(0.41%)
272,Ansys Inc,ANSS,0.07%,351.64,8.31,(2.42%)
273,Vici Properties Inc.,VICI,0.07%,29.11,0.29,(0.99%)
274,Charter Comm Inc Del Cl a,CHTR,0.07%,293.95,-1.35,(-0.46%)
275,"West Pharmaceutical Services, Inc.",WST,0.07%,396.24,2.14,(0.54%)
276,"Extra Space Storage, Inc.",EXR,0.07%,142.46,1.96,(1.39%)
277,"Xcel Energy, Inc.",XEL,0.07%,52.49,-0.09,(-0.18%)
278,Resmed Inc.,RMD,0.07%,191.33,-1.05,(-0.55%)
279,Mettler-Toledo International,MTD,0.07%,"1,341.38",38.52,(2.96%)
280,Willis Towers Watson Public Limited Companys,WTW,0.06%,274.71,0.00,(0.00%)
281,"Delta Air Lines, Inc.",DAL,0.06%,45.96,0.57,(1.27%)
282,The Kraft Heinz Company,KHC,0.06%,35.50,0.15,(0.44%)
283,"Cbre Group, Inc.",CBRE,0.06%,98.19,2.55,(2.67%)
284,"Cardinal Health, Inc.",CAH,0.06%,112.27,0.38,(0.34%)
285,Tractor Supply Co,TSCO,0.06%,266.58,9.56,(3.72%)
286,Ebay Inc,EBAY,0.06%,52.04,0.06,(0.13%)
287,Dollar Tree Inc.,DLTR,0.06%,126.18,-1.92,(-1.50%)
288,Edison International,EIX,0.06%,70.44,0.94,(1.35%)
289,"Keysight Technologies, Inc.",KEYS,0.06%,152.98,2.30,(1.52%)
290,"Zimmer Biomet Holdings, Inc.",ZBH,0.06%,127.19,0.66,(0.52%)
291,Howmet Aerospace Inc.,HWM,0.06%,67.76,0.23,(0.34%)
292,"Ulta Beauty, Inc.",ULTA,0.06%,519.15,-4.81,(-0.92%)
293,Hp Inc.,HPQ,0.06%,29.95,0.27,(0.91%)
294,"Church & Dwight Co., Inc.",CHD,0.06%,103.95,0.94,(0.92%)
295,T Rowe Price Group Inc,TROW,0.06%,119.21,1.20,(1.02%)
